ts_utc,ticker,kind,side,price_c,contracts,cost,fee,spot,distance_bps
2026-08-09 14:38,KXBTC15M-26AUG091045-45,entry,no,61,8,4.88,0.14,65133.31,1.10
2026-08-09 14:53,KXBTC15M-26AUG091100-00,entry,yes,85,5,4.25,0.05,65142.85,3.54
2026-08-09 15:08,KXBTC15M-26AUG091115-15,entry,no,85,5,4.25,0.05,65196.45,3.77
2026-08-09 15:23,KXBTC15M-26AUG091130-30,entry,no,82,6,4.92,0.07,65181.30,2.00
2026-08-09 15:38,KXBTC15M-26AUG091145-45,entry,yes,75,6,4.50,0.08,65187.55,0.56
2026-08-09 16:08,KXBTC15M-26AUG091215-15,entry,yes,93,5,4.65,0.03,65209.99,4.20
2026-08-09 16:23,KXBTC15M-26AUG091230-30,entry,no,84,5,4.20,0.05,65166.22,3.53
2026-08-09 16:38,KXBTC15M-26AUG091245-45,entry,yes,98,5,4.90,0.01,65206.50,10.56
2026-08-09 17:08,KXBTC15M-26AUG091315-15,entry,no,77,6,4.62,0.08,65175.04,1.49
2026-08-09 17:38,KXBTC15M-26AUG091345-45,entry,no,73,6,4.38,0.09,65176.91,1.21
2026-08-09 17:53,KXBTC15M-26AUG091400-00,entry,no,97,5,4.85,0.02,65146.37,5.61
2026-08-09 18:08,KXBTC15M-26AUG091415-15,entry,yes,76,6,4.56,0.08,65152.77,0.55
2026-08-09 18:23,KXBTC15M-26AUG091430-30,entry,no,74,6,4.44,0.09,65153.01,0.06
2026-08-09 18:53,KXBTC15M-26AUG091500-00,entry,no,80,6,4.80,0.07,65159.94,0.79
2026-08-09 19:23,KXBTC15M-26AUG091530-30,entry,yes,93,5,4.65,0.03,65165.77,3.65
2026-08-09 19:38,KXBTC15M-26AUG091545-45,entry,no,77,6,4.62,0.08,65150.99,1.40
2026-08-09 19:53,KXBTC15M-26AUG091600-00,entry,no,78,6,4.68,0.08,65145.62,0.89
2026-08-09 20:08,KXBTC15M-26AUG091615-15,entry,no,95,5,4.75,0.02,65104.52,4.65
2026-08-09 20:23,KXBTC15M-26AUG091630-30,entry,yes,93,5,4.65,0.03,65073.26,5.40
2026-08-09 20:38,KXBTC15M-26AUG091645-45,entry,yes,88,5,4.40,0.04,65100.00,2.98
