ts_utc,ticker,kind,side,price_c,contracts,cost,fee,spot,distance_bps
2026-08-04 22:08,KXBTC15M-26AUG041815-15,entry,yes,69,7,4.83,0.11,64160.00,0.07
2026-08-04 22:23,KXBTC15M-26AUG041830-30,entry,no,90,5,4.50,0.04,64144.00,7.11
2026-08-04 22:28,KXBTC15M-26AUG041830-30,add,no,33,15,4.95,0.24,64205.94,2.54
2026-08-04 22:53,KXBTC15M-26AUG041900-00,entry,no,72,6,4.32,0.09,64150.06,4.27
2026-08-04 22:56,KXBTC15M-26AUG041900-00,add,no,49,10,4.90,0.18,64211.61,5.32
2026-08-04 22:57,KXBTC15M-26AUG041900-00,add,no,4,125,5.00,0.34,64208.82,4.88
2026-08-04 22:58,KXBTC15M-26AUG041900-00,add,no,1,500,5.00,0.35,64221.48,6.86
2026-08-04 23:08,KXBTC15M-26AUG041915-15,entry,yes,87,5,4.35,0.04,64424.18,31.07
2026-08-04 23:38,KXBTC15M-26AUG041945-45,entry,no,66,7,4.62,0.11,64100.52,8.69
2026-08-04 23:41,KXBTC15M-26AUG041945-45,add,no,29,17,4.93,0.25,64181.98,4.01
2026-08-04 23:42,KXBTC15M-26AUG041945-45,add,no,15,33,4.95,0.30,64205.82,7.73
2026-08-04 23:43,KXBTC15M-26AUG041945-45,add,no,1,500,5.00,0.35,64183.78,4.29
2026-08-04 23:53,KXBTC15M-26AUG042000-00,entry,no,92,5,4.60,0.03,64073.40,17.23
2026-08-05 00:08,KXBTC15M-26AUG042015-15,entry,no,88,5,4.40,0.04,63976.57,12.79
2026-08-05 00:23,KXBTC15M-26AUG042030-30,entry,no,64,7,4.48,0.12,63963.70,3.57
2026-08-05 00:27,KXBTC15M-26AUG042030-30,add,no,55,9,4.95,0.16,63958.40,4.40
2026-08-05 00:38,KXBTC15M-26AUG042045-45,entry,yes,94,5,4.70,0.02,64076.81,14.97
2026-08-05 00:43,KXBTC15M-26AUG042045-45,add,yes,76,6,4.56,0.08,64019.47,6.01
2026-08-05 00:53,KXBTC15M-26AUG042100-00,entry,no,86,5,4.30,0.05,63936.45,12.94
2026-08-05 01:08,KXBTC15M-26AUG042115-15,entry,yes,62,8,4.96,0.14,63956.20,1.18
2026-08-05 01:23,KXBTC15M-26AUG042130-30,entry,yes,96,5,4.80,0.02,64048.84,13.04
2026-08-05 01:27,KXBTC15M-26AUG042130-30,add,yes,90,5,4.50,0.04,64019.78,8.49
2026-08-05 01:38,KXBTC15M-26AUG042145-45,entry,yes,92,5,4.60,0.03,64129.43,11.73
2026-08-05 01:53,KXBTC15M-26AUG042200-00,entry,yes,97,5,4.85,0.02,64256.81,16.50
2026-08-05 02:08,KXBTC15M-26AUG042215-15,entry,yes,95,5,4.75,0.02,64396.94,16.76
2026-08-05 02:23,KXBTC15M-26AUG042230-30,entry,no,90,5,4.50,0.04,64282.55,20.27
2026-08-05 02:27,KXBTC15M-26AUG042230-30,add,no,48,10,4.80,0.18,64387.20,4.03
2026-08-05 03:08,KXBTC15M-26AUG042315-15,entry,yes,91,5,4.55,0.03,64363.43,5.99
2026-08-05 03:10,KXBTC15M-26AUG042315-15,add,yes,70,7,4.90,0.11,64349.81,3.87
